variant,n_wells,n_rows,row_rmse,well_rmse_mean,well_rmse_median,well_rmse_p75,well_rmse_max
grid_s5_b0_h0p05,36,179506,7.456513337872896,6.044307176050127,4.9009342364370685,8.400905162359685,19.60080053898248
grid_s3_b0p1_h0p25,36,179506,7.469105069382559,6.578542115108056,5.7158005297174945,8.482830968348242,16.905113611515013
grid_s8_b0_h0p15,36,179506,7.484671458640587,6.243614888661473,5.211917063722165,8.040686203520503,18.27990376080321
grid_s8_b0_h0p2,36,179506,7.485817208637592,6.359003085143214,5.565961041215816,7.927543244676148,18.272363237019185
grid_s5_b0p05_h0,36,179506,7.498007886698511,6.077298611804358,4.90534539699086,8.429060560771246,19.734829311877988
grid_s5_b0p2_h0p1,36,179506,7.503731659825831,6.525419335490892,5.942340065376383,7.8675063836664325,17.489984110430576
grid_s8_b0p05_h0p15,36,179506,7.508426557694632,6.355711036238485,5.444251621281518,7.841193530821595,18.204677919633554
grid_s3_b0p2_h0p15,36,179506,7.510835852905171,6.596843059028727,5.806765421159055,8.503762974094276,16.790307705583913
grid_s8_b0p05_h0p1,36,179506,7.520093527500098,6.256594395352527,5.2464315658351275,8.105553324349774,18.464282605544103
grid_s8_b0p1_h0p1,36,179506,7.542069019662569,6.373739110852225,5.380854482540677,7.937081048333182,18.149837311332067
grid_s8_b0_h0p1,36,179506,7.551175923721735,6.18835014157602,5.152944854964659,8.254533811853268,18.938247981348173
grid_s8_b0_h0p25,36,179506,7.55458239368889,6.524630476706266,6.200613564906485,8.389199935305722,18.448041876627553
grid_s8_b0p05_h0p2,36,179506,7.558060855999977,6.502038152987684,6.269956614698241,8.288422875817867,18.37340768566811
grid_s3_b0p3_h0,36,179506,7.558694792023896,6.598166538290724,6.183889911710723,8.434529746710814,17.10812815698427
grid_s8_b0p1_h0p05,36,179506,7.56002804743587,6.287093903460391,5.284435354290192,8.139113184897148,18.596938184875384
grid_s8_b0p1_h0p15,36,179506,7.579295561446299,6.504485809351192,6.285648463427214,8.256259689034845,18.311800745361246
grid_s5_b0p1_h0p25,36,179506,7.583070425351181,6.674568735860269,5.90014855769212,8.69277796502476,17.79896659009375
grid_s8_b0p05_h0p05,36,179506,7.5927791863827325,6.213789644991977,5.05722941799906,8.320888594905448,19.097619029932265
grid_s3_b0_h0,36,179506,7.605142706245408,6.1577731848327435,5.203534474956598,8.59804521013283,20.260944595376905
grid_s5_b0p2_h0p15,36,179506,7.624123933584649,6.692109771562181,6.032127254338216,8.796293764300415,17.685547893720784
grid_s8_b0p1_h0,36,179506,7.632783119527695,6.252189636638575,4.9936765516212756,8.381076961728896,19.204902403407324
grid_s8_b0p2_h0,36,179506,7.641674260116251,6.475784713229344,5.60407024956959,8.173238403477157,18.15324094068352
grid_s3_b0p3_h0p05,36,179506,7.664612132300626,6.732916702517338,6.345270429664582,8.499939527309543,16.77503180401414
grid_s5_b0_h0,36,179506,7.665032242435207,6.166821999048059,4.911765656080092,8.597923237349448,20.266904363441608
grid_s8_b0p05_h0p25,36,179506,7.667806091344962,6.6880329612895455,6.200180260974616,8.78859717219844,18.543992151080033
grid_s8_b0p2_h0p05,36,179506,7.670313879564519,6.583428172408664,6.273362068853466,8.308412611388436,18.22744646857858
grid_s5_b0p3_h0,36,179506,7.67032376326622,6.68922803932932,6.174316448838973,8.423436426678867,17.471432108894785
grid_s8_b0p1_h0p2,36,179506,7.67090427584846,6.672405439628819,6.268059362292935,8.673962111227542,18.475477829983863
grid_s3_b0p2_h0p2,36,179506,7.674448956706382,6.781914940203482,6.167979196248204,8.768525590282797,17.03328576740478
grid_s8_b0_h0p05,36,179506,7.683574184112145,6.207367123616941,4.8675091717824905,8.437263897206178,19.600521971443943
grid_s8_b0p05_h0,36,179506,7.724761271699369,6.238994401768837,4.87093141124189,8.46414644810217,19.734497619519853
grid_s8_b0p2_h0p1,36,179506,7.742296221297906,6.723191589802896,6.366083454338087,8.593147647228337,18.37777994486538
grid_s12_b0_h0p2,36,179506,7.756688751778762,6.557662109264179,5.841341253456633,8.030680013001396,18.962744943175768
grid_s12_b0_h0p15,36,179506,7.762065432206678,6.446755821127985,5.407433429055365,7.981481065768883,18.828101010772645
grid_s5_b0p3_h0p05,36,179506,7.776693744569521,6.830320056092604,6.343306672309739,8.999895443309311,17.64813615385946
grid_s12_b0p05_h0p15,36,179506,7.779744374015066,6.555407173274923,5.717576551672792,7.940058969830066,18.89973724110572
grid_s5_b0p2_h0p2,36,179506,7.787066544541813,6.8830624752039515,6.219960435349041,8.923731782039404,17.883305368685402
grid_s12_b0p05_h0p1,36,179506,7.797017135534527,6.460375982212572,5.439071125924759,8.04149307215354,18.769692835775036
grid_s3_b0p3_h0p1,36,179506,7.80465691074161,6.8893511213217185,6.370911095418448,8.630108345934952,16.992753171558455
grid_s12_b0p1_h0p1,36,179506,7.812769942582152,6.573940550485961,5.646269959030123,7.8707378861958315,18.845478513199712
grid_s8_b0p1_h0p25,36,179506,7.814982962346671,6.8711654409860055,6.226792421868389,8.976561953528746,18.640823424757652
grid_s12_b0_h0p25,36,179506,7.815456495223663,6.717419477261598,6.413332629302907,8.379079536669405,19.098832606497666
grid_s12_b0p05_h0p2,36,179506,7.820602456782368,6.696447902382668,6.406962933159487,8.261638432911171,19.031117064146123
grid_s12_b0_h0p1,36,179506,7.831454422672074,6.394653143765819,5.259343943873684,8.209985543725217,18.81247910581837
grid_s12_b0p1_h0p05,36,179506,7.835772707663038,6.491104751604649,5.475181918928094,8.055841092573646,18.71991328254221
grid_s12_b0p1_h0p15,36,179506,7.842103240106705,6.6998249242193415,6.408429097690539,8.217365135776962,18.972273781920332
grid_s8_b0p2_h0p15,36,179506,7.8564300289366304,6.8895561601685795,6.250769098781509,9.003273770515454,18.52951846419272
grid_s12_b0p05_h0p05,36,179506,7.872038099973483,6.420472801365878,5.159924619015258,8.276054287717738,18.971327425056923
grid_s8_b0_h0,36,179506,7.878544921434902,6.312755397754524,4.904230188860712,8.593382148276936,20.266340477605052
grid_s3_b0p2_h0p25,36,179506,7.879560710229443,6.989404800942576,6.484794993112795,9.120675938211885,17.27961388675893
grid_s8_b0p3_h0,36,179506,7.904359058329659,6.887040912322507,6.346680951307773,8.812088114739872,18.332474516723245
grid_s12_b0p2_h0,36,179506,7.908069999576491,6.675503196362753,5.773891402731495,8.072711307094975,18.763207879435935
grid_s12_b0p1_h0,36,179506,7.910654996889672,6.458949004908989,5.094748243414784,8.336293671914772,19.07886493346459
grid_s5_b0p3_h0p1,36,179506,7.9159247837496185,6.991701574480016,6.4335561309854565,8.958998094039554,17.82664094524306
grid_s12_b0p05_h0p25,36,179506,7.91869162159109,6.875756315114868,6.419994823292496,8.788100849937035,19.16380483955279
grid_s12_b0p1_h0p2,36,179506,7.923191344684519,6.861640803350986,6.470972577645043,8.672064972229215,19.100274592266114
